Park Unit,"Total
Recreation
Visits","Total Visitor
Spending
($000s, $2024)",Jobs,"Labor Income
($000s, $2024)","Value Added
($000s, $2024)","Economic
Output
($000s, $2024)"
Thomas Jefferson MEM A,"2,915,319","$102,675",956,"$57,283","$100,957","$149,821"
Thomas Stone NHS,"4,538",$319,3,$157,$285,$439
Timpanogos Cave NM,"114,034","$8,024",86,"$3,790","$7,035","$11,847"
Timucuan EHP,"997,136","$70,167",753,"$32,064","$58,874","$99,158"
Tonto NM,"30,840","$2,170",22,"$1,112","$1,985","$3,227"
Tule Lake NM,"3,810",$268,3,$99,$172,$302
Tule Springs Fossil Beds NM,"60,431","$4,252",39,"$2,039","$3,725","$5,801"
Tumacacori NHP,"35,256","$2,481",25,"$1,047","$1,890","$3,193"
Tuskegee Airmen NHS A,"28,474","$1,421",14,$507,$970,"$1,739"
Tuskegee Institute NHS,"10,037",$706,8,$255,$475,$879
Tuzigoot NM,"108,283","$7,620",77,"$3,867","$6,884","$11,125"
Ulysses S Grant NHS,"44,732","$3,148",36,"$1,565","$2,773","$4,692"
Upper Delaware NSR&NRR,"377,061","$19,931",146,"$9,473","$16,538","$24,211"
Valles Caldera NPRES,"82,111","$6,348",63,"$2,610","$4,773","$8,099"
Valley Forge NHP A,"1,866,480","$28,915",325,"$15,881","$26,550","$44,774"
Vanderbilt Mansion NHS A,"406,077","$17,944",160,"$7,146","$13,869","$22,552"
Vicksburg NMP,"403,332","$28,382",323,"$11,105","$21,050","$37,933"
Vietnam Veterans MEM,"5,295,711","$121,167","1,142","$61,970","$113,038","$173,543"
Virgin Islands NP A,"423,029","$75,989",657,"$34,203","$68,985","$105,838"
Voyageurs NP,"199,030","$19,645",193,"$8,062","$14,182","$24,088"
Waco Mammoth NM,"111,961","$7,879",82,"$2,966","$5,559","$9,681"
Walnut Canyon NM,"187,205","$13,173",124,"$5,048","$9,066","$15,173"
War In The Pacific NHP,"373,974","$26,316",217,"$11,535","$22,312","$33,679"
Washington Monument,"247,208","$5,656",53,"$2,893","$5,277","$8,101"
Washita Battlefield NHS,"12,369",$870,10,$266,$513,$992
Weir Farm NHP,"34,246","$2,410",20,"$1,324","$2,311","$3,386"
Whiskeytown NRA,"812,244","$42,755",387,"$16,251","$28,070","$47,192"
White House,"517,030","$11,830",112,"$6,050","$11,036","$16,944"
"White Sands NP A,B","702,236","$62,354",625,"$23,511","$43,926","$79,704"
Whitman Mission NHS,"61,331","$4,316",36,"$1,481","$3,156","$4,954"
William Howard Taft NHS,"31,118","$2,189",24,"$1,044","$1,830","$3,103"
Wilson’s Creek NB,"357,805","$25,178",276,"$10,727","$18,896","$33,389"
Wind Cave NP A,"489,399","$48,637",481,"$19,213","$37,451","$63,464"
Wolf Trap National Park for the Performing Arts,"447,863","$31,516",296,"$15,680","$28,389","$44,039"
Women’s Rights NHP A,"33,691","$2,938",26,"$1,287","$2,459","$3,844"
World War I MEM,"1,084,897","$24,823",208,"$12,053","$21,856","$32,506"
World War II Memorial,"5,160,769","$118,080","1,113","$60,391","$110,159","$169,122"
Wrangell - St Elias NP&PRES,"81,670","$158,974","1,486","$77,303","$139,707","$227,766"
Wright Brothers NMEM,"406,593","$28,611",311,"$11,307","$20,927","$36,544"
Wupatki NM,"220,205","$17,079",158,"$6,581","$11,872","$19,738"
Yellowstone NP A,"4,744,353","$709,686","6,563","$322,325","$544,337","$903,058"
Yosemite NP A,"4,121,807","$628,956","6,107","$270,610","$476,262","$795,492"
Yukon - Charley Rivers NPRES C,"1,700","$10,380",94,"$5,032","$9,224","$15,037"
Zion NP A,"4,946,592","$774,194","8,564","$282,472","$556,282","$1,048,947"
