Park Unit,"Total Recreation
Visits","Total Visitor Spending
($000s, $2019)",Jobs,"Labor Income
($000s, $2019)","Value Added
($000s, $2019)","Economic Output
($000s, $2019)"
Tonto NM,"28,852","$1,716",25,$890,"$1,527","$2,540"
Tumacacori NHP,"39,704","$2,361",36,$934,"$1,672","$3,000"
Tuskegee Airmen NHS,"30,098","$1,790",28,$666,"$1,164","$2,204"
Tuskegee Institute NHS,"36,395","$2,165",34,$805,"$1,408","$2,666"
Tuzigoot NM,"98,537","$5,861",84,"$3,049","$5,215","$8,617"
Ulysses S Grant NHS,"39,449","$2,346",38,"$1,208","$2,009","$3,502"
Upper Delaware NSR&NRR,"215,537","$9,632",102,"$4,633","$7,794","$11,623"
Valley Forge NHPa,"2,259,944","$29,158",462,"$16,611","$26,915","$44,316"
Vanderbilt Mansion NHS,"326,823","$19,439",236,"$9,959","$16,740","$25,812"
Vicksburg NMP,"576,455","$34,287",553,"$13,996","$24,627","$45,678"
Vietnam Veterans MEM,"4,580,587","$88,280","1,145","$48,049","$81,312","$127,255"
Virgin Islands NPa,"133,398","$19,527",224,"$9,420","$17,757","$27,012"
Voyageurs NP,"232,974","$19,250",278,"$7,266","$13,025","$23,675"
Waco Mammoth NM,"111,331","$6,622",95,"$2,696","$4,735","$8,300"
Walnut Canyon NM,"152,332","$9,060",127,"$3,188","$5,680","$10,170"
War In The Pacific NHP,"432,213","$25,708",288,"$11,946","$21,368","$33,058"
Washington Monument,"108,410","$2,089",27,"$1,137","$1,924","$3,012"
Washita Battlefield NHS,"9,119",$543,8,$179,$312,$609
Weir Farm NHS,"38,700","$2,302",26,"$1,254","$2,127","$3,152"
Whiskeytown NRA,"687,159","$30,652",391,"$11,926","$19,257","$33,438"
White House,"454,117","$8,752",113,"$4,764","$8,061","$12,616"
White Sands NPa,"608,786","$32,715",449,"$11,949","$20,390","$37,809"
Whitman Mission NHS,"48,481","$2,884",36,"$1,057","$1,977","$3,291"
William Howard Taft NHS,"32,395","$1,927",30,$956,"$1,598","$2,752"
Wilson's Creek NB,"232,838","$13,849",218,"$5,751","$9,621","$17,772"
"Wind Cave NPa,b","615,350","$51,037",745,"$22,214","$38,559","$69,366"
"Wolf Trap National Park for the
Performing Arts","402,580","$23,945",314,"$12,836","$21,352","$33,531"
Women's Rights NHPa,"39,064","$2,880",36,"$1,193","$2,283","$3,701"
World War II Memorial,"4,831,327","$93,112","1,207","$50,679","$85,763","$134,221"
"World War II Valor in the Pacific
NMa","1,716,535","$303,430","3,373","$150,756","$293,894","$445,341"
Wrangell – St Elias NP&PRES,"74,518","$113,929","1,402","$53,471","$100,092","$162,106"
Wright Brothers NMEM,"400,136","$23,800",356,"$9,894","$17,272","$30,678"
Wupatki NM,"187,060","$12,229",162,"$4,286","$7,716","$13,724"
Yellowstone NPa,"4,020,288","$506,906","7,003","$221,794","$372,399","$642,052"
Yosemite NPa,"4,422,862","$546,596","6,815","$243,706","$415,390","$688,972"
Yukon – Charley Rivers NPRES,"1,114",$582,5,$242,$547,$823
Zion NPa,"4,488,267","$258,364","4,322","$100,555","$176,967","$343,855"
