Park Unit,Total Recreation Visits,Total Visitor Spending ($000s),Jobs,Labor Income ($000s),Value Added ($000s),Economic Output ($000s)
Voyageurs NP,"263,092","$21,474",310,"$8,123","$14,453","$26,221"
Waco Mammoth NM,"46,456","$2,783",40,"$1,135","$1,994","$3,493"
Walnut Canyon NM,"107,423","$6,436",90,"$2,269","$4,042","$7,233"
War in The Pacific NHP,"318,711","$19,095",214,"$8,962","$16,030","$24,789"
Washington Monument,"83,585","$1,623",21,$885,"$1,497","$2,342"
Washita Battlefield NHS,"12,520",$750,11,$248,$432,$843
Weir Farm NHS,"25,431","$1,524",17,$832,"$1,411","$2,089"
Whiskeytown NRA,"805,294","$36,169",461,"$14,103","$22,773","$39,521"
White House,"114,519","$2,224",29,"$1,212","$2,051","$3,209"
White Sands NPa,"415,383","$22,487",309,"$8,235","$14,056","$26,050"
Whitman Mission NHS,"34,932","$2,093",26,$769,"$1,437","$2,392"
William Howard Taft NHS,"11,100",$665,10,$330,$552,$951
Wilson's Creek NB,"287,261","$17,211",271,"$7,159","$11,977","$22,115"
Wind Cave NPa,"448,406","$37,468",546,"$16,339","$28,363","$50,993"
Wolf Trap National Park for the,"30,072","$1,802",24,$968,"$1,609","$2,526"
Women's Rights NHPa,"8,237",$612,8,$254,$486,$787
World War II Memorial,"1,924,128","$37,365",483,"$20,367","$34,467","$53,922"
World War II Valor in the Pacific NMa,"415,542","$74,024",823,"$37,132","$72,368","$109,604"
Wrangell - St Elias NP&PRES,"16,655","$25,629",315,"$12,055","$22,571","$36,504"
Wright Brothers NMEM,"277,963","$16,654",249,"$6,935","$12,108","$21,495"
Wupatki NM,"146,074","$9,617",127,"$3,377","$6,079","$10,807"
Yellowstone NPa,"3,806,306","$444,226","6,110","$194,281","$325,551","$560,441"
Yosemite NPa,"2,268,313","$273,842","3,410","$122,220","$208,964","$346,676"
Yukon - Charley Rivers NPRES,666,$563,5,$235,$531,$797
Zion NPa,"3,591,254","$207,909","3,464","$80,997","$142,615","$276,812"
