Park Unit,"Total Recreation
Visits","Total Visitor
Spending
($000s, $2018)",Jobs,"Labor Income
($000s, $2018)","Value Added
($000s, $2018)","Economic
Output
($000s, $2018)"
Tonto NM,"39,823","$2,352",34,"$1,217","$2,088","$3,476"
Tumacacori NHP,"40,809","$2,408",37,$951,"$1,702","$3,055"
Tuskegee Airmen NHS,"26,830","$1,584",25,$588,"$1,028","$1,948"
Tuskegee Institute NHS,"37,486","$2,214",35,$822,"$1,437","$2,722"
Tuzigoot NM,"98,089","$5,793",83,"$3,008","$5,145","$8,505"
Ulysses S Grant NHS,"43,601","$2,575",41,"$1,323","$2,200","$3,838"
Upper Delaware NSR&NRR,"220,965","$9,808",104,"$4,707","$7,919","$11,815"
Valley Forge NHP *,"1,881,362","$24,097",382,"$13,704","$22,205","$36,581"
Vanderbilt Mansion NHS,"340,870","$20,129",245,"$10,294","$17,303","$26,692"
Vicksburg NMP,"474,387","$28,014",452,"$11,415","$20,085","$37,270"
Vietnam Veterans MEM,"4,719,148","$90,278","1,173","$49,060","$83,024","$129,980"
Virgin Islands NP *,"112,287","$16,322",188,"$7,858","$14,810","$22,550"
Voyageurs NP,"239,657","$19,541",283,"$7,365","$13,156","$23,914"
Waco Mammoth NM,"106,932","$6,315",91,"$2,566","$4,507","$7,905"
Walnut Canyon NM,"167,736","$9,905",139,"$3,479","$6,198","$11,104"
War In The Pacific NHP,"387,855","$22,904",257,"$10,622","$18,999","$29,406"
Washington Monument (X),0,$0,0,$0,$0,$0
Washita Battlefield NHS,"13,437",$793,12,$261,$455,$890
Weir Farm NHS,"35,383","$2,089",24,"$1,136","$1,928","$2,858"
Whiskeytown NRA,"585,768","$25,810",329,"$10,020","$16,142","$28,018"
White House,"485,975","$9,297",121,"$5,052","$8,550","$13,385"
White Sands NM *,"603,008","$32,192",443,"$11,731","$20,017","$37,145"
Whitman Mission NHS,"49,274","$2,910",37,"$1,065","$1,991","$3,317"
William Howard Taft NHS,"30,201","$1,784",27,$883,"$1,477","$2,543"
Wilson's Creek NB,"220,276","$13,008",205,"$5,392","$9,020","$16,670"
Wind Cave NP *,"656,398","$66,631","1,009","$28,728","$48,468","$88,760"
"Wolf Trap National Park for the
Performing Arts","365,539","$21,586",283,"$11,551","$19,213","$30,186"
Women's Rights NHP *,"42,783","$3,131",40,"$1,295","$2,478","$4,020"
World War II Memorial,"4,652,866","$89,010","1,157","$48,371","$81,858","$128,155"
World War II Valor in the Pacific NM * !,"1,779,142","$312,110","3,475","$154,837","$301,842","$457,646"
Wrangell - St Elias NP&PRES,"79,450","$120,679","1,486","$56,512","$105,764","$171,530"
Wright Brothers NMEM,"360,669","$21,298",319,"$8,838","$15,429","$27,417"
Wupatki NM,"205,122","$13,314",176,"$4,657","$8,384","$14,922"
Yellowstone NP *,"4,115,001","$512,566","7,089","$223,866","$375,210","$647,091"
Yosemite NP * !,"4,009,438","$495,245","6,184","$220,522","$376,018","$624,129"
Yukon - Charley Rivers NPRES,"1,272","$1,103",9,$457,"$1,032","$1,557"
Zion NP * !,"4,320,032","$246,236","4,130","$95,644","$168,265","$327,236"
