Park Unit,"Total
Recreation
Visits","Total Visitor
Spending
($000s, $2023)",Jobs,"Labor Income
($000s, $2023)","Value Added
($000s, $2023)","Economic
Output
($000s, $2023)"
Sunset Crater Volcano NM,"81,519","$5,460",67,"$2,236","$3,652","$6,451"
Tallgrass Prairie NPRES,"28,776","$1,926",27,$799,"$1,362","$2,514"
Thaddeus Kosciuszko NMEM,"2,218",$148,2,$91,$141,$235
Theodore Roosevelt Birthplace NHS,"19,892","$1,332",14,$793,"$1,289","$1,957"
Theodore Roosevelt Inaugural NHS,"23,159","$1,551",19,$713,"$1,249","$2,101"
Theodore Roosevelt Island P,"153,053","$10,250",125,"$5,785","$9,453","$15,176"
Theodore Roosevelt NP,"746,862","$54,223",645,"$19,396","$32,967","$60,054"
"Thomas Edison NHP A,C","33,483",$798,7,$435,$696,"$1,022"
Thomas Jefferson MEM A,"2,984,919","$102,207","1,354","$65,024","$104,573","$159,315"
Thomas Stone NHS,"5,757",$386,5,$216,$353,$563
Timpanogos Cave NM,"120,656","$8,081",113,"$4,012","$6,791","$12,226"
Timucuan EHP,"959,461","$64,257",916,"$30,957","$52,598","$93,536"
Tonto NM,"31,216","$2,090",28,"$1,121","$1,868","$3,221"
Tule Lake NM,"2,731",$183,2,$76,$117,$213
Tule Springs Fossil Beds NM,"60,134","$4,027",45,"$1,993","$3,437","$5,508"
Tumacacori NHP,"37,872","$2,525",33,"$1,124","$1,868","$3,309"
"Tuskegee Airmen NHS A,B","22,082","$1,081",15,$436,$755,"$1,410"
Tuskegee Institute NHS,"8,229",$552,8,$214,$356,$703
Tuzigoot NM,"102,936","$6,894",93,"$3,695","$6,145","$10,543"
Ulysses S Grant NHS,"33,065","$2,214",33,"$1,196","$1,940","$3,476"
Upper Delaware NSR&NRR,"327,266","$16,571",157,"$8,546","$13,853","$20,963"
Valles Caldera NPRES,"76,090","$5,597",73,"$2,361","$4,058","$7,316"
Valley Forge NHP A,"1,880,527","$27,158",411,"$16,530","$25,875","$44,666"
Vanderbilt Mansion NHS A,"338,436","$14,569",182,"$6,646","$11,649","$18,988"
Vicksburg NMP,"342,984","$22,970",339,"$9,301","$16,082","$30,961"
Vietnam Veterans MEM,"5,039,454","$108,933","1,353","$62,876","$104,055","$166,912"
Virgin Islands NP A,"343,685","$55,201",617,"$27,007","$51,208","$77,716"
Voyageurs NP,"220,825","$20,356",279,"$8,028","$13,756","$25,640"
Waco Mammoth NM,"98,123","$6,572",93,"$3,044","$4,752","$8,766"
Walnut Canyon NM,"152,548","$10,217",126,"$4,184","$6,834","$12,072"
War in the Pacific NHP,"415,533","$27,829",284,"$12,922","$23,209","$35,869"
Washington Monument,"248,750","$5,377",67,"$3,104","$5,136","$8,239"
Washita Battlefield NHS,"11,906",$797,12,$245,$424,$901
Weir Farm NHS,"36,313","$2,432",26,"$1,428","$2,328","$3,508"
Whiskeytown NRA,"920,311","$46,444",545,"$20,032","$31,094","$54,349"
White House,"553,665","$11,968",149,"$6,908","$11,432","$18,338"
White Sands NP A,"729,096","$44,451",595,"$16,928","$27,341","$53,386"
Whitman Mission NHS,"47,232","$3,164",37,"$1,251","$2,260","$3,792"
William Howard Taft NHS,"30,757","$2,060",30,"$1,101","$1,748","$3,132"
Wilson's Creek NB,"316,770","$21,214",311,"$9,177","$14,996","$28,723"
Wind Cave NP A,"592,459","$52,011",727,"$22,867","$40,501","$74,016"
"Wolf Trap National Park for the Performing
Arts","489,008","$32,750",404,"$18,539","$30,280","$48,754"
Women's Rights NHP A,"35,934","$2,962",34,"$1,315","$2,412","$3,934"
World War I MEM B,"1,092,228","$23,610",264,"$12,969","$21,076","$32,692"
World War II Memorial,"5,119,541","$110,665","1,374","$63,876","$105,710","$169,567"
Wrangell - St Elias NP&PRES,"78,305","$130,973","1,827","$71,628","$114,330","$195,996"
Wright Brothers NMEM,"423,488","$28,362",411,"$12,076","$20,444","$38,392"
Wupatki NM,"215,703","$15,920",190,"$6,433","$10,678","$18,743"
Yellowstone NP A,"4,501,382","$623,274","8,561","$290,663","$451,782","$828,347"
Yosemite NP A,"3,897,070","$526,566","6,664","$257,591","$421,894","$724,563"
Yukon - Charley Rivers NPRES C,"1,011","$2,238",31,"$1,228","$1,990","$3,385"
Zion NP A,"4,623,238","$676,040","10,782","$279,218","$495,371","$967,289"
